revision_id,revision_timestamp,building_id,forward_patch,reverse_patch,user
275086,2023-07-04 19:02:21+02,61041,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275087,2023-07-04 19:02:21+02,61042,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275088,2023-07-04 19:02:23+02,61043,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275089,2023-07-04 19:02:24+02,61044,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275090,2023-07-04 19:02:24+02,61045,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275091,2023-07-04 19:02:25+02,61046,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275092,2023-07-04 19:02:26+02,61050,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275093,2023-07-04 19:02:26+02,61049,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275094,2023-07-04 19:02:27+02,61048,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275095,2023-07-04 19:02:28+02,61047,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275096,2023-07-04 19:02:28+02,61038,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275097,2023-07-04 19:02:29+02,61039,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275098,2023-07-04 19:02:30+02,61040,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275099,2023-07-04 19:02:35+02,61396,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275100,2023-07-04 19:02:36+02,63127,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275101,2023-07-04 19:02:39+02,62962,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275102,2023-07-04 19:02:43+02,61802,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275103,2023-07-04 19:02:44+02,62574,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275104,2023-07-04 19:02:45+02,61314,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275105,2023-07-04 19:02:46+02,63216,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275106,2023-07-04 19:02:49+02,61601,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275107,2023-07-04 19:02:50+02,63498,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275108,2023-07-04 19:02:51+02,61129,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275109,2023-07-04 19:02:52+02,61558,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275110,2023-07-04 19:02:54+02,63239,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275111,2023-07-04 19:02:57+02,62193,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275112,2023-07-04 19:02:58+02,62421,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275113,2023-07-04 19:02:58+02,61307,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275114,2023-07-04 19:02:59+02,63136,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275115,2023-07-04 19:03:00+02,63732,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275118,2023-07-04 19:03:05+02,61909,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275123,2023-07-04 19:03:14+02,61120,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275125,2023-07-04 19:03:15+02,61130,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275138,2023-07-04 19:03:36+02,63196,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275146,2023-07-04 19:03:46+02,62786,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275116,2023-07-04 19:03:01+02,62051,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275120,2023-07-04 19:03:07+02,62822,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275126,2023-07-04 19:03:17+02,62135,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275127,2023-07-04 19:03:18+02,61727,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275117,2023-07-04 19:03:02+02,61080,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275119,2023-07-04 19:03:06+02,63587,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275121,2023-07-04 19:03:07+02,63077,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275130,2023-07-04 19:03:25+02,81805,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275131,2023-07-04 19:03:29+02,81531,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275133,2023-07-04 19:03:31+02,81534,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275134,2023-07-04 19:03:32+02,81550,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275135,2023-07-04 19:03:32+02,62165,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275141,2023-07-04 19:03:41+02,62331,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275143,2023-07-04 19:03:43+02,63190,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275122,2023-07-04 19:03:08+02,62457,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275124,2023-07-04 19:03:15+02,61853,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275129,2023-07-04 19:03:24+02,81450,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
